=== bce_dice-transpose-half_shallow-s42-55dfa7 === 28,088,513 tham số, thiết bị cuda
epoch   1/120 | train 0.6263 | val 0.5437 | val dice 0.2027 | val iou 0.1286 *
epoch   2/120 | train 0.5667 | val 0.5415 | val dice 0.2806 | val iou 0.1860 *
epoch   3/120 | train 0.5636 | val 0.5349 | val dice 0.3103 | val iou 0.2072 *
epoch   4/120 | train 0.5578 | val 0.5521 | val dice 0.3811 | val iou 0.2612 *
epoch   5/120 | train 0.5396 | val 0.5175 | val dice 0.3232 | val iou 0.2158
epoch   6/120 | train 0.5127 | val 0.5463 | val dice 0.4536 | val iou 0.3189 *
epoch   7/120 | train 0.4975 | val 0.4536 | val dice 0.5250 | val iou 0.3850 *
epoch   8/120 | train 0.4809 | val 0.4471 | val dice 0.5239 | val iou 0.3895
epoch   9/120 | train 0.4782 | val 0.4898 | val dice 0.4494 | val iou 0.3178
epoch  10/120 | train 0.4695 | val 0.4314 | val dice 0.5619 | val iou 0.4232 *
epoch  11/120 | train 0.4681 | val 0.4666 | val dice 0.4720 | val iou 0.3454
epoch  12/120 | train 0.4557 | val 0.4562 | val dice 0.4824 | val iou 0.3544
epoch  13/120 | train 0.4561 | val 0.4418 | val dice 0.5528 | val iou 0.4133
epoch  14/120 | train 0.4479 | val 0.4323 | val dice 0.5520 | val iou 0.4123
epoch  15/120 | train 0.4447 | val 0.4965 | val dice 0.4257 | val iou 0.3030
epoch  16/120 | train 0.4452 | val 0.4352 | val dice 0.5733 | val iou 0.4333 *
epoch  17/120 | train 0.4398 | val 0.4546 | val dice 0.4760 | val iou 0.3513
epoch  18/120 | train 0.4332 | val 0.4332 | val dice 0.5572 | val iou 0.4173
epoch  19/120 | train 0.4323 | val 0.4359 | val dice 0.4937 | val iou 0.3682
epoch  20/120 | train 0.4299 | val 0.4155 | val dice 0.5552 | val iou 0.4227
epoch  21/120 | train 0.4250 | val 0.4141 | val dice 0.5587 | val iou 0.4285
epoch  22/120 | train 0.4258 | val 0.4197 | val dice 0.5864 | val iou 0.4458 *
